epoch,stage,phase,lr,train_total,train_landmark,train_angular_deg,train_reproj,train_mask,train_ray_target,train_pose,train_translation,val_total,val_landmark,val_angular_deg,val_landmark_px
1,3,1,2.71e-04,0.489222,0.000103,33.9357,0.000000,0.000000,0.000000,0.039207,0.123641,0.560954,0.000133,62.5299,2.6048
2,3,1,1.96e-04,0.399886,0.000101,28.0487,0.000000,0.000000,0.000000,0.020222,0.002272,0.468085,0.000121,33.8609,2.3630
3,3,1,1.04e-04,0.368181,0.000096,22.6584,0.000000,0.000000,0.000000,0.014892,0.001586,0.422612,0.000119,18.6135,2.3402
4,3,1,2.86e-05,0.328926,0.000091,14.6365,0.000000,0.000000,0.000000,0.011776,0.001210,0.404196,0.000119,11.5680,2.3414
5,3,1,0.00e+00,0.306697,0.000088,9.6906,0.000000,0.000000,0.000000,0.009703,0.001029,0.396349,0.000118,10.5707,2.3092
6,3,2,2.93e-04,0.468956,0.000100,28.3300,0.141418,0.099965,0.244911,0.019032,0.001646,0.503527,0.000139,15.9526,2.7330
7,3,2,2.71e-04,0.462467,0.000100,26.8343,0.133190,0.099755,0.233034,0.017045,0.001550,0.592101,0.000158,22.4579,3.0862
8,3,2,2.38e-04,0.442714,0.000097,24.9880,0.125712,0.101374,0.218644,0.017032,0.001599,0.500589,0.000134,18.4931,2.6480
9,3,2,1.96e-04,0.408324,0.000094,20.2796,0.105539,0.103422,0.178842,0.014527,0.001386,0.414639,0.000116,11.6928,2.2859
10,3,2,1.50e-04,0.388236,0.000091,18.0547,0.093975,0.100513,0.160060,0.013305,0.001203,0.440333,0.000122,13.9980,2.3898
11,3,2,1.04e-04,0.360279,0.000088,15.0432,0.080449,0.103187,0.134709,0.011382,0.001077,0.479920,0.000129,17.6014,2.5375
12,3,2,6.18e-05,0.332147,0.000085,11.6345,0.064731,0.100940,0.105616,0.009492,0.000961,0.429914,0.000121,11.9608,2.3757
13,3,2,2.86e-05,0.313976,0.000083,9.3922,0.054513,0.102495,0.086027,0.008931,0.000907,0.403960,0.000113,11.2579,2.2255
14,3,2,7.34e-06,0.303716,0.000082,8.1209,0.048827,0.100889,0.075879,0.008482,0.000857,0.399622,0.000115,9.0247,2.2611
15,3,2,0.00e+00,0.300599,0.000082,7.4206,0.046015,0.102748,0.070136,0.008351,0.000837,0.376895,0.000108,8.5601,2.1289
16,3,3,9.76e-05,0.260445,0.000082,11.0391,0.061337,0.098742,0.100025,0.009227,0.000925,0.375764,0.000114,23.4704,2.2478
