epoch,phase,lr,train_total,train_landmark,train_angular_deg,train_reproj,train_mask,train_ray_target,train_pose,train_translation,train_iris_seg,train_eyeball_seg,val_total,val_landmark,val_angular_deg,val_landmark_px,val_iris_seg,val_eyeball_seg
11,2,2.07e-04,2.998848,0.000154,43.1976,0.179363,0.093002,0.353307,0.047255,0.003787,0.003808,0.011628,1.670949,0.000455,27.0209,8.5945,0.003784,0.012852
12,2,1.50e-04,2.592934,0.000145,40.1549,0.175303,0.094895,0.332349,0.039278,0.002995,0.003721,0.011211,1.487563,0.000402,25.1578,7.6079,0.003492,0.011244
13,2,9.26e-05,2.111448,0.000138,32.8278,0.171842,0.094407,0.281026,0.032306,0.002355,0.003587,0.010923,1.320516,0.000351,24.2426,6.6835,0.003458,0.010761
14,2,4.39e-05,1.817572,0.000133,29.3394,0.176150,0.098787,0.252999,0.027131,0.002049,0.003405,0.010443,1.132239,0.000288,25.3372,5.5543,0.003321,0.010549
