epoch,batch,loss,landmark,angular_deg,gaze_consist,shape,ray_target,pose,translation,iris_seg,eyeball_seg,lr
11,1,3.023995,0.000211,35.0052,0.125405,0.054352,0.280436,0.114254,0.005388,0.004989,0.019968,0.00025607
11,2,3.138031,0.000191,42.2086,0.138886,0.071940,0.373728,0.088686,0.003206,0.004248,0.016262,0.00025607
11,3,2.627723,0.000181,27.7706,0.137694,0.086772,0.229202,0.068271,0.003836,0.004541,0.013806,0.00025607
11,4,3.803308,0.000172,29.8189,0.135206,0.095168,0.271623,0.056269,0.003203,0.003995,0.012890,0.00025607
11,5,2.322517,0.000171,28.3219,0.133145,0.098627,0.234594,0.048328,0.003069,0.004081,0.012234,0.00025607
11,6,3.762113,0.000170,92.2131,0.166167,0.094715,0.657978,0.038992,0.003084,0.003695,0.011232,0.00025607
11,7,3.436911,0.000164,75.1974,0.196318,0.094672,0.548640,0.050651,0.003634,0.003537,0.012369,0.00025607
11,8,2.748293,0.000167,34.0374,0.189057,0.099645,0.275998,0.051943,0.002817,0.003644,0.011561,0.00025607
11,9,2.657744,0.000168,31.1263,0.180905,0.102872,0.289895,0.033336,0.003007,0.003698,0.011289,0.00025607
11,10,3.200299,0.000164,52.5293,0.185877,0.103364,0.403818,0.025836,0.002848,0.003692,0.010599,0.00025607
11,11,2.173015,0.000167,26.2602,0.178966,0.104379,0.244463,0.028157,0.003203,0.003715,0.011458,0.00025607
11,12,2.917535,0.000153,79.1785,0.187819,0.106585,0.626001,0.021965,0.002684,0.003413,0.010421,0.00025607
11,13,2.286133,0.000167,25.9425,0.182506,0.104660,0.236658,0.073491,0.003082,0.003293,0.011903,0.00025607
11,14,3.664831,0.000159,61.1197,0.188727,0.103049,0.498741,0.055457,0.002670,0.003516,0.011325,0.00025607
11,15,2.112908,0.000164,23.8443,0.184616,0.102615,0.210698,0.040870,0.002789,0.003455,0.011158,0.00025607
11,16,3.426205,0.000157,46.5969,0.189751,0.101220,0.387996,0.035153,0.003964,0.003521,0.010324,0.00025607
11,17,3.173058,0.000161,26.1511,0.185231,0.102300,0.225457,0.035379,0.003028,0.003944,0.010746,0.00025607
11,18,2.832107,0.000147,29.1097,0.181768,0.101187,0.266731,0.032376,0.002516,0.003345,0.009428,0.00025607
11,19,2.899941,0.000154,48.9691,0.183267,0.099031,0.397021,0.106663,0.003522,0.003855,0.016572,0.00025607
11,20,3.054020,0.000165,28.6089,0.179738,0.098063,0.249692,0.074207,0.002700,0.003633,0.016514,0.00025607
11,21,2.708107,0.000126,39.0605,0.177851,0.096250,0.340918,0.051425,0.002696,0.003382,0.012703,0.00025607
11,22,2.493457,0.000136,36.6685,0.175411,0.095668,0.288663,0.024739,0.002703,0.003464,0.011519,0.00025607
11,23,2.198334,0.000147,41.5491,0.177632,0.094754,0.365440,0.050320,0.003332,0.004176,0.011804,0.00025607
11,24,2.798826,0.000163,30.4594,0.175230,0.095336,0.255020,0.039564,0.003694,0.003814,0.012184,0.00025607
11,25,3.063615,0.000132,27.3453,0.172792,0.093991,0.232942,0.047491,0.002247,0.003521,0.010567,0.00025607
11,26,2.341492,0.000194,23.5531,0.170240,0.093210,0.200847,0.065323,0.004828,0.004145,0.012367,0.00025607
11,27,3.793902,0.000171,100.7168,0.176174,0.094717,0.707585,0.059294,0.004599,0.004032,0.012969,0.00025607
11,28,2.837760,0.000166,51.0554,0.178225,0.094882,0.418400,0.034101,0.003722,0.003757,0.012634,0.00025607
11,29,3.196674,0.000163,34.5369,0.177748,0.093895,0.300528,0.030350,0.003309,0.003890,0.012415,0.00025607
11,30,2.630685,0.000150,30.9197,0.175809,0.093757,0.268974,0.028812,0.003278,0.003635,0.011655,0.00025607
11,31,2.897291,0.000160,79.0616,0.182749,0.093848,0.576336,0.028166,0.003494,0.003786,0.011581,0.00025607
11,32,2.206046,0.000182,26.3382,0.181397,0.094221,0.226183,0.030607,0.003728,0.003902,0.011704,0.00025607
11,33,4.455473,0.000186,37.7656,0.179950,0.095694,0.338158,0.116464,0.007169,0.003875,0.013131,0.00025607
11,34,2.174173,0.000150,24.2154,0.178270,0.095176,0.216629,0.063587,0.003118,0.003901,0.010625,0.00025607
11,35,4.618112,0.000181,98.5077,0.182777,0.094582,0.689623,0.057401,0.003674,0.003511,0.011770,0.00025607
11,36,3.660387,0.000135,96.7235,0.189306,0.093611,0.662169,0.048016,0.002353,0.003478,0.010164,0.00025607
11,37,2.438197,0.000141,32.7275,0.187483,0.094299,0.290725,0.030489,0.002586,0.003576,0.010573,0.00025607
11,38,2.321126,0.000133,36.9249,0.185955,0.093943,0.285263,0.048853,0.001617,0.003507,0.010508,0.00025607
11,39,3.236254,0.000170,50.9251,0.185826,0.093555,0.457810,0.058258,0.003404,0.003654,0.012135,0.00025607
11,40,2.445745,0.000149,23.6756,0.183930,0.093199,0.205460,0.047738,0.003070,0.003448,0.010362,0.00025607
11,41,3.241034,0.000149,29.2124,0.182231,0.092840,0.244725,0.037496,0.003896,0.003589,0.010976,0.00025607
11,42,2.391536,0.000153,28.0761,0.180997,0.092765,0.240272,0.032226,0.002783,0.003499,0.010440,0.00025607
11,43,3.223162,0.000157,37.4038,0.179647,0.093715,0.322896,0.033955,0.004472,0.003794,0.011166,0.00025607
11,44,2.406696,0.000156,26.6731,0.178539,0.093068,0.236254,0.029747,0.002514,0.003560,0.009849,0.00025607
11,45,3.115122,0.000161,37.7370,0.178739,0.092493,0.301358,0.044189,0.002511,0.003912,0.012452,0.00025607
11,46,2.865197,0.000156,39.4837,0.178040,0.093206,0.371559,0.057502,0.002785,0.003855,0.012368,0.00025607
11,47,3.077716,0.000167,34.1458,0.176973,0.093301,0.267914,0.065091,0.003521,0.004306,0.012487,0.00025607
11,48,2.418174,0.000131,56.5695,0.180551,0.092965,0.458764,0.039316,0.003283,0.003787,0.009614,0.00025607
11,49,3.114729,0.000168,30.8629,0.179735,0.093364,0.289411,0.071323,0.003490,0.004309,0.012110,0.00025607
11,50,2.382540,0.000126,29.6100,0.179362,0.093442,0.240075,0.042852,0.002460,0.003389,0.009202,0.00025607
11,51,3.534712,0.000164,39.7706,0.178465,0.093888,0.356453,0.075123,0.002853,0.003908,0.011149,0.00025607
11,52,2.457982,0.000191,31.0708,0.178015,0.093710,0.259807,0.036715,0.007341,0.004155,0.013417,0.00025607
11,53,4.891391,0.000151,30.4134,0.176971,0.092773,0.274500,0.065103,0.006570,0.003520,0.010790,0.00025607
11,54,3.156082,0.000162,26.0754,0.176126,0.092839,0.221587,0.062062,0.001905,0.004031,0.011923,0.00025607
11,55,4.411988,0.000169,38.3018,0.175802,0.092565,0.322762,0.041973,0.004207,0.003871,0.011110,0.00025607
11,56,3.181147,0.000149,28.4750,0.175279,0.092787,0.264714,0.040534,0.003180,0.003436,0.010842,0.00025607
11,57,4.234513,0.000180,32.3589,0.174882,0.093005,0.262230,0.052766,0.002428,0.004035,0.012536,0.00025607
11,58,3.111118,0.000133,43.9430,0.174284,0.093498,0.374377,0.032996,0.001143,0.003678,0.011018,0.00025607
11,59,4.642266,0.000249,30.0935,0.173764,0.093996,0.257348,0.113423,0.004258,0.006647,0.019922,0.00025607
11,60,2.796119,0.000200,28.1800,0.173117,0.094182,0.252575,0.063655,0.006777,0.005139,0.012675,0.00025607
11,61,4.587572,0.000173,88.3979,0.175412,0.093969,0.663057,0.051073,0.002626,0.004552,0.013834,0.00025607
11,62,2.785125,0.000168,72.6284,0.179280,0.093966,0.552680,0.044093,0.003673,0.004217,0.011887,0.00025607
11,63,3.755842,0.000196,34.9177,0.179052,0.094187,0.309857,0.066108,0.004093,0.004287,0.011836,0.00025607
11,64,3.367319,0.000157,31.7906,0.179047,0.093927,0.289273,0.043426,0.002716,0.004207,0.011051,0.00025607
11,65,2.996149,0.000204,22.5371,0.178236,0.093346,0.201501,0.067955,0.004149,0.004684,0.024190,0.00025607
11,66,3.794640,0.000154,90.4622,0.182008,0.093125,0.605995,0.050348,0.003687,0.004513,0.017738,0.00025607
11,67,2.334513,0.000171,30.3217,0.181347,0.092903,0.276936,0.058237,0.004000,0.004484,0.018236,0.00025607
11,68,3.330625,0.000191,62.4818,0.181740,0.092604,0.484422,0.042782,0.004742,0.004685,0.016815,0.00025607
11,69,2.664340,0.000170,25.2956,0.180899,0.092014,0.232123,0.043390,0.004771,0.004547,0.015353,0.00025607
11,70,3.696864,0.000180,51.8571,0.180902,0.091977,0.419493,0.062503,0.004651,0.004212,0.015596,0.00025607
11,71,2.254393,0.000145,25.5077,0.180063,0.092397,0.227222,0.070481,0.003953,0.004015,0.012733,0.00025607
11,72,2.773657,0.000167,30.7051,0.179376,0.092905,0.262645,0.031179,0.005376,0.004285,0.012498,0.00025607
11,73,2.017580,0.000137,25.5709,0.178931,0.092558,0.225482,0.053548,0.007180,0.003908,0.012316,0.00025607
11,74,4.038606,0.000167,37.6172,0.178233,0.092254,0.320800,0.029103,0.004845,0.003609,0.011251,0.00025607
11,75,3.309747,0.000159,24.7425,0.177379,0.092133,0.226272,0.078148,0.005236,0.003465,0.012448,0.00025607
11,76,2.406827,0.000190,40.3075,0.178122,0.091462,0.343706,0.033638,0.005135,0.003775,0.012892,0.00025607
11,77,3.470270,0.000194,49.1121,0.178030,0.091955,0.382774,0.126886,0.008358,0.004108,0.021154,0.00025607
11,78,2.550565,0.000171,42.4803,0.177823,0.091883,0.350512,0.040786,0.006608,0.004296,0.015721,0.00025607
11,79,2.800204,0.000170,45.8335,0.177386,0.091733,0.377958,0.060257,0.010698,0.003889,0.014111,0.00025607
11,80,2.967343,0.000172,25.0608,0.176572,0.091410,0.213565,0.040381,0.004882,0.003849,0.012325,0.00025607
11,81,3.025189,0.000129,30.9394,0.175729,0.091097,0.284939,0.040949,0.002816,0.003343,0.010712,0.00025607
11,82,2.375351,0.000135,35.0782,0.175077,0.091349,0.280478,0.033006,0.004129,0.003367,0.010903,0.00025607
11,83,2.796589,0.000125,73.8483,0.176322,0.091769,0.591074,0.026979,0.002508,0.003444,0.010487,0.00025607
11,84,2.933568,0.000153,22.2091,0.175319,0.092178,0.192961,0.052534,0.002437,0.003496,0.010750,0.00025607
11,85,3.409843,0.000130,36.0128,0.174770,0.092013,0.328958,0.024268,0.003184,0.003895,0.011044,0.00025607
11,86,2.171881,0.000153,27.7965,0.173891,0.091709,0.223503,0.039515,0.002616,0.003817,0.010920,0.00025607
11,87,3.818351,0.000144,116.6707,0.176135,0.091208,0.808250,0.019652,0.002640,0.003369,0.010010,0.00025607
11,88,3.310113,0.000133,87.3060,0.177579,0.090893,0.662175,0.026825,0.002247,0.003625,0.010146,0.00025607
11,89,2.588900,0.000128,29.7782,0.177097,0.090933,0.234577,0.039007,0.003474,0.003324,0.009575,0.00025607
11,90,2.668832,0.000141,26.9174,0.176611,0.090980,0.245938,0.029041,0.002685,0.003541,0.010637,0.00025607
11,91,2.730566,0.000148,52.7272,0.178121,0.090964,0.441957,0.071669,0.004500,0.003911,0.018246,0.00025607
11,92,2.833469,0.000137,29.3161,0.177796,0.091311,0.250853,0.055846,0.003514,0.003606,0.011620,0.00025607
11,93,2.252613,0.000140,27.5407,0.176966,0.091229,0.246543,0.037674,0.002258,0.003665,0.011630,0.00025607
11,94,2.797733,0.000128,87.3108,0.178705,0.091178,0.661182,0.024558,0.003136,0.003352,0.009388,0.00025607
11,95,2.712683,0.000151,28.6806,0.178324,0.090898,0.267487,0.043501,0.003405,0.003447,0.010882,0.00025607
11,96,2.879874,0.000113,35.4228,0.177873,0.090660,0.275186,0.035601,0.001968,0.003203,0.008786,0.00025607
11,97,2.255504,0.000155,25.3774,0.177275,0.090545,0.233982,0.025908,0.002809,0.003403,0.013412,0.00025607
11,98,3.270961,0.000142,54.9314,0.178549,0.090379,0.423224,0.028132,0.002404,0.003413,0.009483,0.00025607
11,99,2.548474,0.000147,23.3162,0.177835,0.090251,0.209128,0.043120,0.001563,0.003761,0.011639,0.00025607
11,100,2.217617,0.000158,50.7577,0.179205,0.090131,0.409964,0.020687,0.002502,0.003859,0.010416,0.00025607
11,101,3.075861,0.000135,32.3944,0.178858,0.090356,0.291504,0.028790,0.003972,0.003248,0.009883,0.00025607
11,102,2.736847,0.000115,28.3063,0.178529,0.090442,0.238127,0.033010,0.001732,0.003337,0.008759,0.00025607
11,103,2.170892,0.000130,49.7128,0.179815,0.090519,0.431649,0.031185,0.002667,0.003012,0.008808,0.00025607
