fold,epoch,train_loss,val_mae
P1,1,0.13065769580694345,14.559609
P1,2,0.028710608298961934,12.4975395
P1,3,0.023523912980006292,12.07299
P1,4,0.024548090421236478,12.198835
P1,5,0.02350481656881479,12.61245
P1,6,0.022608050933251016,12.375402
P1,7,0.022489190101623535,11.895519
P1,8,0.02245698066858145,11.463558
P1,9,0.0225453101671659,11.694272
P1,10,0.022907477158766527,11.256348
P1,11,0.02408526035455557,11.438972
P1,12,0.022311306916750394,11.748868
P1,13,0.022160369616288405,11.8949585
P1,14,0.021245452073904183,11.570835
P1,15,0.02151909241309533,11.501039
P1,16,0.021906683078178994,11.729888
P1,17,0.02206287017235389,11.639104
P1,18,0.021533608436584473,11.882351
P1,19,0.02184188824433547,11.251281
P1,20,0.022647765966562126,11.65564
P1,21,0.021951615810394287,11.1431875
P1,22,0.021077403655418984,11.108662
P1,23,0.022134863413297214,11.184451
P1,24,0.021359003507173978,11.463684
P1,25,0.02200997334260207,11.58088
P1,26,0.021419245463151198,11.553052
P1,27,0.021044263472923867,11.554226
P1,28,0.021587417675898626,11.510608
P1,29,0.021483127887432393,11.50466
P1,30,0.021455590541546162,11.578924
P2,1,0.30508461365332973,14.856274
P2,2,0.028825622338515062,12.531936
P2,3,0.024012038340935342,12.031782
P2,4,0.021399016563708965,12.074507
P2,5,0.0208130616408128,12.083157
P2,6,0.02126124730476966,12.120657
P2,7,0.020739917571728047,12.059508
P2,8,0.021852988463181715,12.080784
P2,9,0.02141462839566744,12.166116
P2,10,0.021191078882951003,11.604922
P2,11,0.02064361022068904,11.8555765
P2,12,0.020556371945601244,12.016574
P2,13,0.020231132323925313,12.047136
P2,14,0.02014491191277137,11.9792795
P2,15,0.020967176327338584,11.945752
P2,16,0.02038874992957482,12.445762
P2,17,0.02024024724960327,12.7914915
P2,18,0.019595008630018968,12.505299
P2,19,0.020595697256234977,12.12807
P2,20,0.020977565875420205,12.230216
P2,21,0.020295367791102484,12.324344
P2,22,0.020217304046337422,12.05077
P2,23,0.01998376387816209,11.97626
P2,24,0.020516739441798285,12.150665
P2,25,0.019826815678523138,12.203943
P2,26,0.019418808130117562,12.179113
P2,27,0.019788948389200065,12.214631
P2,28,0.020379864252530612,12.224279
P2,29,0.019063179309551533,12.209461
P2,30,0.02007454175215501,12.1904955
P3,1,0.20845547089209923,11.019087
P3,2,0.0263438499890841,12.881304
P3,3,0.023630068852351263,11.005876
P3,4,0.02131571678014902,10.727163
P3,5,0.021785992842454176,10.159907
P3,6,0.022283022220318135,10.319829
P3,7,0.021558009661160983,10.598181
P3,8,0.020684058849628154,10.737925
P3,9,0.021214897815997783,10.563949
P3,10,0.02092968959074754,9.652563
P3,11,0.0223655288036053,9.982488
P3,12,0.02179380563589243,10.022509
P3,13,0.021065271817720853,9.823933
P3,14,0.02167836519388052,9.789223
P3,15,0.022127160659203164,9.950761
P3,16,0.02079994403398954,10.264836
P3,17,0.020430239347311165,9.647013
P3,18,0.020745740487025335,9.886789
P3,19,0.020465919604668252,10.056145
P3,20,0.020539888968834512,10.245338
P3,21,0.020882262633397028,9.802252
P3,22,0.020798935340001032,9.556235
P3,23,0.021095766470982477,9.626045
P3,24,0.020519756353818454,9.746142
P3,25,0.021313598522773154,10.06042
P3,26,0.02186413911672739,10.094865
P3,27,0.020670166382422812,10.121276
P3,28,0.02067657158924983,10.026438
P3,29,0.020501865790440485,9.966905
P3,30,0.021812979991619404,10.078253
P4,1,0.16274720430374146,14.985042
P4,2,0.0268060748393719,11.962103
P4,3,0.024736051376049336,10.73166
P4,4,0.023050074393932637,10.458696
P4,5,0.022426999532259427,10.287466
P4,6,0.02177197658098661,10.511409
P4,7,0.02111047964829665,10.832074
P4,8,0.022146105766296387,10.534445
P4,9,0.021154820919036865,10.577346
P4,10,0.0208397232569181,10.351736
P4,11,0.0212175020804772,10.519192
P4,12,0.020184131769033577,10.379577
P4,13,0.021609696058126595,10.939968
P4,14,0.020873500750615046,10.870958
P4,15,0.021431326866149902,10.471157
P4,16,0.021856917784764215,11.437653
P4,17,0.020549517411452074,10.474621
P4,18,0.02101395221856924,11.070945
P4,19,0.020661564973684456,10.438555
P4,20,0.02065855723160964,10.590085
P4,21,0.02054897638467642,10.636096
P4,22,0.01952661000765287,10.772053
P4,23,0.020480609857119046,10.958163
P4,24,0.02137301518366887,10.789114
P4,25,0.020876086675203763,10.675097
P4,26,0.020771888586191032,10.5580225
P4,27,0.0196306246977586,10.630332
P4,28,0.020563373198876016,10.670413
P4,29,0.019324165124159593,10.679626
P4,30,0.02049212730847872,10.724384
P5,1,0.14334022998809814,15.329612
P5,2,0.02324364735529973,12.125571
P5,3,0.021065601935753457,10.597698
P5,4,0.020434540051680345,10.6664505
P5,5,0.02076167785204374,10.596479
P5,6,0.020938428548666146,10.701372
P5,7,0.02113822790292593,10.842129
P5,8,0.02110416155595046,10.762655
P5,9,0.01999616164427537,10.811323
P5,10,0.020491783435528096,10.898467
P5,11,0.020507982143988975,10.865078
P5,12,0.020833817812112663,10.754988
P5,13,0.020144141637361966,10.916212
P5,14,0.020411353844862718,10.800473
P5,15,0.019742190837860107,10.936633
P5,16,0.020650198826423057,10.901399
P5,17,0.019880886261279766,10.844359
P5,18,0.020222815183492806,10.658591
P5,19,0.020873473240778997,10.579253
P5,20,0.020126883800213154,10.685778
P5,21,0.02047626330302312,10.696717
P5,22,0.0204848601267888,10.666904
P5,23,0.020382940769195557,10.694881
P5,24,0.020322061502016507,10.729079
P5,25,0.019656034616323616,10.669062
P5,26,0.01974181028512808,10.672896
P5,27,0.01950247471149151,10.6808
P5,28,0.019995428048647367,10.686262
P5,29,0.01954578894835252,10.693441
P5,30,0.019395053386688232,10.678817
P6,1,0.10986285484754123,11.173576
P6,2,0.022932570714216966,9.575674
P6,3,0.02086763198559101,9.853741
P6,4,0.02054845828276414,9.664763
