epoch,phase,lr,train_total,train_landmark,train_angular_deg,train_reproj,train_mask,train_ray_target,train_pose,train_translation,train_iris_seg,train_eyeball_seg,val_total,val_landmark,val_angular_deg,val_landmark_px,val_iris_seg,val_eyeball_seg
11,1,1.98e-04,0.228614,0.000072,93.3191,0.000000,0.000000,0.000000,0.002788,0.000000,0.000000,0.000000,0.334245,0.000107,91.7080,2.0984,0.000000,0.000000
12,1,1.45e-04,0.217934,0.000069,92.9686,0.000000,0.000000,0.000000,0.002435,0.000000,0.000000,0.000000,0.323120,0.000103,91.6874,2.0285,0.000000,0.000000
13,1,1.11e-04,0.209811,0.000067,92.8253,0.000000,0.000000,0.000000,0.002290,0.000000,0.000000,0.000000,0.324475,0.000103,92.0233,2.0357,0.000000,0.000000
14,1,1.00e-04,0.203730,0.000065,92.9580,0.000000,0.000000,0.000000,0.002131,0.000000,0.000000,0.000000,0.317777,0.000101,91.9383,1.9971,0.000000,0.000000
15,1,1.00e-04,0.199205,0.000063,92.8488,0.000000,0.000000,0.000000,0.002141,0.000000,0.000000,0.000000,0.316768,0.000101,91.6171,1.9919,0.000000,0.000000
16,2,4.94e-04,13.077768,0.000083,34.2725,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.900776,0.000101,29.3357,1.9921,0.000000,0.000000
17,2,4.78e-04,6.956721,0.000084,25.5575,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.832708,0.000102,16.7705,2.0120,0.000000,0.000000
18,2,4.51e-04,6.303385,0.000084,22.6154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.750410,0.000102,31.2916,2.0112,0.000000,0.000000
19,2,4.15e-04,5.716385,0.000084,20.7619,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.437478,0.000102,18.7195,2.0117,0.000000,0.000000
20,2,3.73e-04,5.244808,0.000084,20.0636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.612584,0.000102,12.4287,2.0115,0.000000,0.000000
21,2,3.25e-04,4.625120,0.000084,18.2853,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.912736,0.000102,22.7791,2.0118,0.000000,0.000000
22,2,2.75e-04,4.055471,0.000084,17.2081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.372228,0.000102,20.2363,2.0125,0.000000,0.000000
23,2,2.25e-04,3.577427,0.000084,16.5175,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.161259,0.000102,13.5804,2.0123,0.000000,0.000000
24,2,1.77e-04,3.062681,0.000084,15.7792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.247902,0.000102,13.5127,2.0120,0.000000,0.000000
25,2,1.35e-04,2.737410,0.000084,14.6475,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.142028,0.000102,12.9693,2.0123,0.000000,0.000000
26,2,9.91e-05,2.319425,0.000084,13.2935,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.044248,0.000102,9.6465,2.0119,0.000000,0.000000
27,2,7.23e-05,1.979668,0.000084,12.6347,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.985251,0.000102,10.6664,2.0117,0.000000,0.000000
28,2,5.56e-05,1.763519,0.000084,11.5183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.193480,0.000102,17.4165,2.0116,0.000000,0.000000
29,2,5.00e-05,1.593767,0.000084,11.1483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.014928,0.000102,9.4876,2.0121,0.000000,0.000000
30,2,5.00e-05,1.567341,0.000084,11.1693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.982692,0.000102,10.4255,2.0118,0.000000,0.000000
