epoch,phase,lr,train_total,train_landmark,train_angular_deg,train_reproj,train_mask,train_ray_target,train_pose,train_translation,train_iris_seg,train_eyeball_seg,val_total,val_landmark,val_angular_deg,val_landmark_px,val_iris_seg,val_eyeball_seg
1,1,9.89e-04,1.176101,0.000347,84.5272,0.000000,0.000000,0.000000,0.173338,0.000000,0.000000,0.000000,0.779410,0.000249,87.7590,4.8819,0.000000,0.000000
2,1,9.55e-04,0.625000,0.000192,91.9503,0.000000,0.000000,0.000000,0.045837,0.000000,0.000000,0.000000,0.614220,0.000196,94.5912,3.8542,0.000000,0.000000
3,1,9.02e-04,0.484332,0.000150,94.1287,0.000000,0.000000,0.000000,0.025257,0.000000,0.000000,0.000000,0.482456,0.000154,95.4290,3.0280,0.000000,0.000000
4,1,8.31e-04,0.408141,0.000127,94.5456,0.000000,0.000000,0.000000,0.016762,0.000000,0.000000,0.000000,0.447681,0.000143,94.1553,2.8112,0.000000,0.000000
5,1,7.45e-04,0.356343,0.000112,94.7038,0.000000,0.000000,0.000000,0.011838,0.000000,0.000000,0.000000,0.413730,0.000132,93.1385,2.5949,0.000000,0.000000
6,1,6.50e-04,0.321394,0.000101,94.0361,0.000000,0.000000,0.000000,0.009044,0.000000,0.000000,0.000000,0.376788,0.000120,92.2611,2.3651,0.000000,0.000000
7,1,5.50e-04,0.290384,0.000092,93.6785,0.000000,0.000000,0.000000,0.006749,0.000000,0.000000,0.000000,0.367925,0.000117,93.6480,2.3074,0.000000,0.000000
8,1,4.50e-04,0.270277,0.000085,93.4112,0.000000,0.000000,0.000000,0.005080,0.000000,0.000000,0.000000,0.360907,0.000115,92.9447,2.2687,0.000000,0.000000
9,1,3.55e-04,0.253532,0.000080,93.8044,0.000000,0.000000,0.000000,0.004034,0.000000,0.000000,0.000000,0.343878,0.000110,92.5678,2.1592,0.000000,0.000000
10,1,2.69e-04,0.238924,0.000076,93.4732,0.000000,0.000000,0.000000,0.003242,0.000000,0.000000,0.000000,0.334094,0.000107,92.1910,2.1002,0.000000,0.000000
