epoch,stage,phase,lr,train_total,train_landmark,train_angular_deg,train_reproj,train_mask,train_ray_target,train_pose,train_translation,val_total,val_landmark,val_angular_deg,val_landmark_px
1,1,1,9.76e-04,3.169758,0.000626,87.6546,0.000000,0.000000,0.000000,0.499688,1.913369,1.464231,0.000467,42.6369,9.2702
2,1,1,9.05e-04,1.835166,0.000308,88.0320,0.000000,0.000000,0.000000,0.327254,1.410189,0.955302,0.000305,42.6466,5.9723
3,1,1,7.94e-04,1.483149,0.000255,88.5718,0.000000,0.000000,0.000000,0.183835,1.183489,0.702450,0.000224,42.6216,4.4009
4,1,1,6.55e-04,1.270573,0.000211,88.8149,0.000000,0.000000,0.000000,0.127282,1.089859,0.800827,0.000255,42.6174,4.9860
5,1,1,5.00e-04,1.151007,0.000183,88.6098,0.000000,0.000000,0.000000,0.094830,1.056678,0.559702,0.000178,42.6701,3.5132
6,1,1,3.45e-04,1.067728,0.000164,88.8122,0.000000,0.000000,0.000000,0.073321,1.033126,0.526019,0.000168,42.6445,3.2947
7,1,1,2.06e-04,1.011674,0.000152,88.7510,0.000000,0.000000,0.000000,0.056467,1.012769,0.510273,0.000163,42.6544,3.1962
8,1,1,9.55e-05,0.966881,0.000142,88.7399,0.000000,0.000000,0.000000,0.045977,0.998409,0.480403,0.000153,42.6499,3.0096
9,1,1,2.45e-05,0.938507,0.000135,88.8046,0.000000,0.000000,0.000000,0.039540,0.987913,0.472009,0.000151,42.6613,2.9567
10,1,1,0.00e+00,0.928736,0.000134,88.8290,0.000000,0.000000,0.000000,0.037125,0.982978,0.466493,0.000149,42.6675,2.9218
11,1,2,2.93e-04,1.458057,0.000137,88.7884,0.000000,0.000000,0.000000,0.041583,0.986709,0.549335,0.000175,42.6504,3.4317
12,1,2,2.71e-04,1.437121,0.000133,88.8365,0.000000,0.000000,0.000000,0.038514,0.980140,0.483849,0.000154,42.6503,3.0381
13,1,2,2.38e-04,1.412563,0.000129,88.8422,0.000000,0.000000,0.000000,0.034953,0.974385,0.545384,0.000174,42.6478,3.4210
14,1,2,1.96e-04,1.390424,0.000125,88.8635,0.000000,0.000000,0.000000,0.030946,0.968381,0.469434,0.000150,42.6446,2.9491
15,1,2,1.50e-04,1.370841,0.000121,88.8757,0.000000,0.000000,0.000000,0.028027,0.963172,0.513706,0.000164,42.6446,3.2304
16,1,2,1.04e-04,1.350734,0.000117,88.8893,0.000000,0.000000,0.000000,0.025601,0.958570,0.458158,0.000146,42.6477,2.8787
17,1,2,6.18e-05,1.335406,0.000114,88.9431,0.000000,0.000000,0.000000,0.023457,0.954353,0.426102,0.000136,42.6551,2.6695
18,1,2,2.86e-05,1.323644,0.000112,88.9814,0.000000,0.000000,0.000000,0.021887,0.951745,0.425368,0.000136,42.6589,2.6685
19,1,2,7.34e-06,1.317831,0.000111,88.9830,0.000000,0.000000,0.000000,0.021036,0.950160,0.422106,0.000135,42.6544,2.6478
20,1,2,0.00e+00,1.316945,0.000110,88.9769,0.000000,0.000000,0.000000,0.020961,0.949650,0.401427,0.000128,42.6549,2.5172
