epoch,phase,lr,train_total,train_landmark,train_angular_deg,train_reproj,train_mask,train_ray_target,train_pose,train_translation,train_iris_seg,train_eyeball_seg,val_total,val_landmark,val_angular_deg,val_landmark_px,val_iris_seg,val_eyeball_seg
1,1,4.95e-04,2.344198,0.000589,92.5342,0.000000,0.000000,0.000000,0.288366,0.053027,0.128539,0.199059,8.232615,0.002362,93.2896,46.1576,0.297423,0.528486
2,1,4.78e-04,1.004560,0.000294,92.4616,0.000000,0.000000,0.000000,0.099901,0.005383,0.007350,0.021618,7.117761,0.002160,93.2967,42.5469,0.115675,0.229546
3,1,4.52e-04,0.775146,0.000230,92.4504,0.000000,0.000000,0.000000,0.062637,0.004065,0.005081,0.015617,5.296689,0.001635,93.3394,31.7475,0.043888,0.124377
4,1,4.17e-04,0.651470,0.000194,92.4504,0.000000,0.000000,0.000000,0.044956,0.003443,0.004282,0.013043,1.942534,0.000588,93.3443,11.5682,0.021773,0.078039
5,1,3.75e-04,0.575433,0.000173,92.4097,0.000000,0.000000,0.000000,0.032671,0.002857,0.003806,0.011571,1.556501,0.000480,93.3459,9.4243,0.010112,0.041840
6,1,3.27e-04,0.524859,0.000159,92.3758,0.000000,0.000000,0.000000,0.024680,0.001917,0.003491,0.010458,1.241458,0.000388,93.2128,7.5712,0.005017,0.020877
7,1,2.76e-04,0.490530,0.000149,92.3551,0.000000,0.000000,0.000000,0.018544,0.001429,0.003261,0.009709,1.115880,0.000350,92.9194,6.7758,0.003666,0.013359
