epoch,stage,phase,lr,train_total,train_landmark,train_angular_deg,train_reproj,train_mask,train_ray_target,train_pose,train_translation,val_total,val_landmark,val_angular_deg,val_landmark_px
1,2,1,2.71e-04,0.932798,0.000118,89.1169,0.000000,0.000000,0.000000,0.027404,0.961095,0.494654,0.000139,79.0195,2.7299
2,2,1,1.96e-04,0.903749,0.000115,64.8004,0.000000,0.000000,0.000000,0.025750,0.957662,0.482544,0.000142,43.1286,2.8015
3,2,1,1.04e-04,0.874134,0.000111,48.9450,0.000000,0.000000,0.000000,0.022066,0.951885,0.531921,0.000159,39.7314,3.1402
4,2,1,2.86e-05,0.844564,0.000106,35.3489,0.000000,0.000000,0.000000,0.019086,0.946372,0.425838,0.000128,27.0727,2.5230
5,2,1,0.00e+00,0.831966,0.000105,27.3851,0.000000,0.000000,0.000000,0.018241,0.943876,0.425845,0.000129,25.2339,2.5366
