epoch,batch,loss,landmark,angular_deg,gaze_consist,shape,ray_target,pose,translation,lr
1,1,22.893967,0.005627,120.8325,0.000000,0.000000,0.000000,2.608150,7.887062,0.00100000
1,2,22.163597,0.005415,120.6637,0.000000,0.000000,0.000000,2.651925,7.714018,0.00100000
1,3,22.425827,0.005511,120.2255,0.000000,0.000000,0.000000,2.584844,7.703755,0.00100000
1,4,22.261620,0.005404,120.7216,0.000000,0.000000,0.000000,2.634771,7.997320,0.00100000
1,5,22.585424,0.005572,121.9535,0.000000,0.000000,0.000000,2.640674,7.581071,0.00100000
1,6,23.344652,0.005873,123.3246,0.000000,0.000000,0.000000,2.726097,7.127749,0.00100000
1,42,22.642149,0.005577,119.5874,0.000000,0.000000,0.000000,2.692050,7.611678,0.00100000
1,43,22.786186,0.005608,121.9259,0.000000,0.000000,0.000000,2.653603,7.746057,0.00100000
1,44,22.521011,0.005535,124.1406,0.000000,0.000000,0.000000,2.642741,7.682322,0.00100000
1,45,22.361353,0.005472,122.2045,0.000000,0.000000,0.000000,2.629693,7.772990,0.00100000
1,46,22.326246,0.005399,120.8753,0.000000,0.000000,0.000000,2.641769,8.145180,0.00100000
1,47,22.385052,0.005494,120.7407,0.000000,0.000000,0.000000,2.659784,7.654446,0.00100000
1,84,20.451582,0.004864,121.1452,0.000000,0.000000,0.000000,2.645930,7.753278,0.00100000
1,85,20.710863,0.004966,120.9688,0.000000,0.000000,0.000000,2.652779,7.623795,0.00100000
1,86,20.411648,0.004831,121.2558,0.000000,0.000000,0.000000,2.640753,7.883665,0.00100000
1,87,21.071316,0.005084,122.6780,0.000000,0.000000,0.000000,2.668872,7.589664,0.00100000
1,88,20.633398,0.004960,121.1231,0.000000,0.000000,0.000000,2.625786,7.533124,0.00100000
1,89,20.773525,0.005025,120.6061,0.000000,0.000000,0.000000,2.661066,7.370342,0.00100000
1,126,19.479177,0.004633,113.9202,0.000000,0.000000,0.000000,2.636969,7.261767,0.00100000
1,127,20.632275,0.005045,122.4855,0.000000,0.000000,0.000000,2.641629,6.977767,0.00100000
1,128,22.839397,0.005680,124.3539,0.000000,0.000000,0.000000,2.681841,7.374834,0.00100000
1,129,20.821104,0.005214,123.8527,0.000000,0.000000,0.000000,2.644577,6.293810,0.00100000
1,130,21.195187,0.005278,126.2611,0.000000,0.000000,0.000000,2.683175,6.602672,0.00100000
1,131,20.949200,0.005151,117.3425,0.000000,0.000000,0.000000,2.629731,6.963890,0.00100000
1,167,20.237492,0.004824,117.7312,0.000000,0.000000,0.000000,2.642574,7.577799,0.00100000
1,168,21.316904,0.005138,121.4854,0.000000,0.000000,0.000000,2.585925,7.824918,0.00100000
1,169,21.291113,0.005138,121.5146,0.000000,0.000000,0.000000,2.635477,7.721684,0.00100000
1,170,20.667814,0.004940,118.5447,0.000000,0.000000,0.000000,2.659851,7.693072,0.00100000
1,171,21.020813,0.005058,121.1984,0.000000,0.000000,0.000000,2.675077,7.640075,0.00100000
1,172,21.221876,0.005104,119.8380,0.000000,0.000000,0.000000,2.657816,7.776767,0.00100000
1,209,23.895802,0.005833,124.5597,0.000000,0.000000,0.000000,2.759575,8.448151,0.00100000
1,210,20.944893,0.005095,121.2264,0.000000,0.000000,0.000000,2.660543,7.275709,0.00100000
1,211,20.837854,0.005178,120.5483,0.000000,0.000000,0.000000,2.699683,6.497731,0.00100000
1,212,23.330675,0.005679,123.4252,0.000000,0.000000,0.000000,2.753599,8.288750,0.00100000
1,213,22.228361,0.005440,124.2981,0.000000,0.000000,0.000000,2.606984,7.732910,0.00100000
1,214,21.306919,0.005294,121.3431,0.000000,0.000000,0.000000,2.651212,6.757910,0.00100000
1,251,22.724678,0.005594,123.6203,0.000000,0.000000,0.000000,2.683860,7.681036,0.00100000
1,252,22.674786,0.005597,121.8074,0.000000,0.000000,0.000000,2.661003,7.583065,0.00100000
1,253,22.407858,0.005511,119.2017,0.000000,0.000000,0.000000,2.667699,7.583889,0.00100000
1,254,22.774448,0.005608,123.0173,0.000000,0.000000,0.000000,2.659399,7.715100,0.00100000
1,255,22.655266,0.005588,121.2727,0.000000,0.000000,0.000000,2.677986,7.581598,0.00100000
1,256,23.458092,0.005772,122.7530,0.000000,0.000000,0.000000,2.619836,8.094313,0.00100000
1,292,21.487862,0.005431,124.9254,0.000000,0.000000,0.000000,2.647902,6.263824,0.00100000
1,293,21.299311,0.005284,120.4434,0.000000,0.000000,0.000000,2.693700,6.766387,0.00100000
1,294,20.196285,0.004781,116.9824,0.000000,0.000000,0.000000,2.601729,7.804304,0.00100000
1,295,21.305014,0.005223,123.0117,0.000000,0.000000,0.000000,2.647377,7.202548,0.00100000
1,296,21.070534,0.005122,120.6654,0.000000,0.000000,0.000000,2.616513,7.400045,0.00100000
1,297,19.739643,0.004611,115.8293,0.000000,0.000000,0.000000,2.658876,7.901514,0.00100000
1,334,23.531227,0.005764,124.5019,0.000000,0.000000,0.000000,2.580826,8.326982,0.00100000
1,335,22.242001,0.005451,121.3885,0.000000,0.000000,0.000000,2.547884,7.745764,0.00100000
1,336,22.487675,0.005649,125.9267,0.000000,0.000000,0.000000,2.650497,6.895126,0.00100000
1,337,22.696520,0.005693,125.9520,0.000000,0.000000,0.000000,2.684411,7.004323,0.00100000
1,338,23.939791,0.005995,126.8454,0.000000,0.000000,0.000000,2.689680,7.590116,0.00100000
1,339,22.786030,0.005710,118.1990,0.000000,0.000000,0.000000,2.681821,7.077125,0.00100000
1,376,21.611641,0.005206,124.9013,0.000000,0.000000,0.000000,2.595782,7.972653,0.00100000
1,377,22.384975,0.005509,127.1080,0.000000,0.000000,0.000000,2.635365,7.584166,0.00100000
1,378,21.981995,0.005304,125.1067,0.000000,0.000000,0.000000,2.631975,8.064604,0.00100000
1,379,19.676083,0.004811,123.5108,0.000000,0.000000,0.000000,2.685591,6.492392,0.00100000
1,380,20.294361,0.005044,122.4847,0.000000,0.000000,0.000000,2.722941,6.228224,0.00100000
1,381,20.227152,0.004947,124.5440,0.000000,0.000000,0.000000,2.716298,6.707648,0.00100000
1,417,21.800283,0.005381,118.6504,0.000000,0.000000,0.000000,2.699086,7.150077,0.00100000
1,418,24.049637,0.006090,123.6070,0.000000,0.000000,0.000000,2.612989,7.289582,0.00100000
1,419,24.182724,0.006220,122.9755,0.000000,0.000000,0.000000,2.696008,6.655529,0.00100000
1,420,22.157772,0.005569,122.9807,0.000000,0.000000,0.000000,2.662940,6.721048,0.00100000
1,421,22.688696,0.005653,116.7625,0.000000,0.000000,0.000000,2.644437,7.278638,0.00100000
1,422,23.210400,0.005831,116.2386,0.000000,0.000000,0.000000,2.661007,7.184868,0.00100000
1,459,22.451185,0.005708,123.7106,0.000000,0.000000,0.000000,2.699580,6.404217,0.00100000
1,460,22.875582,0.005606,120.6428,0.000000,0.000000,0.000000,2.682457,7.907980,0.00100000
1,461,24.311480,0.006135,127.4398,0.000000,0.000000,0.000000,2.706676,7.437400,0.00100000
1,462,23.448076,0.005956,126.3956,0.000000,0.000000,0.000000,2.664154,6.876113,0.00100000
1,463,21.006111,0.005095,115.9822,0.000000,0.000000,0.000000,2.665776,7.387589,0.00100000
1,464,20.943516,0.005058,115.1688,0.000000,0.000000,0.000000,2.655255,7.510082,0.00100000
1,501,21.784714,0.005319,116.5425,0.000000,0.000000,0.000000,2.691102,7.514550,0.00100000
1,502,22.462393,0.005467,119.0290,0.000000,0.000000,0.000000,2.699722,7.939103,0.00100000
1,503,22.309668,0.005534,120.8840,0.000000,0.000000,0.000000,2.736303,7.171995,0.00100000
1,504,22.072559,0.005396,121.3709,0.000000,0.000000,0.000000,2.739022,7.564032,0.00100000
1,505,22.611467,0.005495,126.4385,0.000000,0.000000,0.000000,2.603629,8.151768,0.00100000
1,506,22.278194,0.005378,124.7169,0.000000,0.000000,0.000000,2.635916,8.191172,0.00100000
1,542,20.033073,0.004804,116.7850,0.000000,0.000000,0.000000,2.679843,7.253299,0.00100000
1,543,21.070061,0.005116,120.0025,0.000000,0.000000,0.000000,2.638189,7.411851,0.00100000
1,544,21.079241,0.005225,121.7703,0.000000,0.000000,0.000000,2.678984,6.706508,0.00100000
1,545,21.800505,0.005527,125.3012,0.000000,0.000000,0.000000,2.679791,6.255239,0.00100000
1,546,24.041206,0.005997,127.4061,0.000000,0.000000,0.000000,2.674824,7.794147,0.00100000
1,547,22.520977,0.005668,124.8105,0.000000,0.000000,0.000000,2.647502,6.843750,0.00100000
1,584,18.104801,0.004234,124.2219,0.000000,0.000000,0.000000,2.658464,6.993214,0.00100000
1,585,18.052404,0.004072,122.9386,0.000000,0.000000,0.000000,2.569888,7.994111,0.00100000
1,586,18.533907,0.004288,125.2487,0.000000,0.000000,0.000000,2.650365,7.525410,0.00100000
1,587,17.662786,0.004132,124.9585,0.000000,0.000000,0.000000,2.677312,6.729250,0.00100000
1,588,16.455984,0.003696,119.7912,0.000000,0.000000,0.000000,2.676063,7.055630,0.00100000
1,589,16.711811,0.003787,121.9134,0.000000,0.000000,0.000000,2.718569,6.953772,0.00100000
1,626,20.112944,0.004869,117.4035,0.000000,0.000000,0.000000,2.652114,7.036965,0.00100000
1,627,19.590992,0.004600,113.7848,0.000000,0.000000,0.000000,2.547515,7.785440,0.00100000
1,628,19.950649,0.004828,123.1265,0.000000,0.000000,0.000000,2.672837,6.945983,0.00100000
1,629,20.742496,0.005095,123.5252,0.000000,0.000000,0.000000,2.690407,6.839930,0.00100000
1,630,21.313902,0.005136,119.8231,0.000000,0.000000,0.000000,2.665902,7.746858,0.00100000
1,631,25.755058,0.006217,123.0844,0.000000,0.000000,0.000000,2.822047,9.694513,0.00100000
1,667,21.775860,0.005188,126.2459,0.000000,0.000000,0.000000,2.577484,8.437101,0.00100000
1,668,19.045553,0.004570,120.4862,0.000000,0.000000,0.000000,2.668969,6.759630,0.00100000
