epoch,phase,lr,train_total,train_landmark,train_angular_deg,train_reproj,train_mask,train_ray_target,train_pose,train_translation,train_iris_seg,train_eyeball_seg,val_total,val_landmark,val_angular_deg,val_landmark_px,val_iris_seg,val_eyeball_seg
1,1,9.89e-04,1.316545,0.000392,116.2825,0.000000,0.000000,0.000000,0.174218,0.000000,0.000000,0.000000,0.737642,0.000235,116.4663,4.5258,0.000000,0.000000
2,1,9.57e-04,0.643160,0.000198,114.9517,0.000000,0.000000,0.000000,0.043045,0.000000,0.000000,0.000000,0.599309,0.000191,114.4599,3.7401,0.000000,0.000000
3,1,9.05e-04,0.495991,0.000154,113.8126,0.000000,0.000000,0.000000,0.023065,0.000000,0.000000,0.000000,0.450840,0.000144,113.7418,2.8240,0.000000,0.000000
4,1,8.35e-04,0.418235,0.000131,113.5458,0.000000,0.000000,0.000000,0.014997,0.000000,0.000000,0.000000,0.407008,0.000130,111.5052,2.5431,0.000000,0.000000
5,1,7.50e-04,0.370357,0.000116,113.4065,0.000000,0.000000,0.000000,0.010619,0.000000,0.000000,0.000000,0.395369,0.000126,111.9658,2.4855,0.000000,0.000000
6,1,6.55e-04,0.332583,0.000105,113.4135,0.000000,0.000000,0.000000,0.008345,0.000000,0.000000,0.000000,0.388560,0.000124,111.8876,2.4363,0.000000,0.000000
7,1,5.52e-04,0.306159,0.000097,113.5499,0.000000,0.000000,0.000000,0.006494,0.000000,0.000000,0.000000,0.364901,0.000116,111.7950,2.2830,0.000000,0.000000
