epoch,stage,phase,lr,train_total,train_landmark,train_angular_deg,train_reproj,train_mask,train_ray_target,train_pose,train_translation,val_total,val_landmark,val_angular_deg,val_landmark_px
1,1,1,9.62e-04,2.542585,0.000738,120.6850,0.000000,0.000000,0.000000,0.393077,0.063195,1.363218,0.000435,120.0324,8.4337
2,1,1,8.54e-04,1.278878,0.000381,120.9876,0.000000,0.000000,0.000000,0.160725,0.009179,1.028785,0.000328,120.2980,6.4420
3,1,1,6.91e-04,0.979189,0.000293,120.9711,0.000000,0.000000,0.000000,0.115837,0.005908,0.897333,0.000286,119.9601,5.6472
4,1,1,5.00e-04,0.823241,0.000247,120.8906,0.000000,0.000000,0.000000,0.092696,0.004009,0.829001,0.000264,120.0348,5.2074
5,1,1,3.09e-04,0.724108,0.000218,120.8502,0.000000,0.000000,0.000000,0.075589,0.002576,0.816289,0.000260,119.9694,5.1388
6,1,1,1.46e-04,0.660726,0.000200,120.8047,0.000000,0.000000,0.000000,0.062907,0.001747,0.768517,0.000245,119.9269,4.8256
7,1,1,3.81e-05,0.607374,0.000185,120.7613,0.000000,0.000000,0.000000,0.056075,0.001407,0.716405,0.000228,119.8367,4.4951
8,1,1,0.00e+00,0.584269,0.000177,120.7543,0.000000,0.000000,0.000000,0.056453,0.001300,0.669306,0.000213,119.7825,4.2010
9,1,2,2.85e-04,0.606415,0.000175,120.8086,0.000000,0.000000,0.000000,0.054748,0.001508,0.737238,0.000235,120.0949,4.6328
10,1,2,2.44e-04,0.574930,0.000166,120.8106,0.000000,0.000000,0.000000,0.051868,0.001414,0.738923,0.000236,119.9908,4.6620
11,1,2,1.83e-04,0.545549,0.000158,120.7900,0.000000,0.000000,0.000000,0.048942,0.001261,0.716413,0.000228,119.9423,4.5019
12,1,2,1.17e-04,0.518337,0.000150,120.7730,0.000000,0.000000,0.000000,0.045417,0.001122,0.679602,0.000217,119.8933,4.2722
13,1,2,5.65e-05,0.495393,0.000144,120.7579,0.000000,0.000000,0.000000,0.043275,0.001018,0.678259,0.000216,119.9010,4.2655
14,1,2,1.49e-05,0.484534,0.000141,120.7401,0.000000,0.000000,0.000000,0.042731,0.000960,0.645687,0.000206,119.8850,4.0587
15,1,2,0.00e+00,0.480453,0.000139,120.7182,0.000000,0.000000,0.000000,0.044483,0.000929,0.624647,0.000199,119.8693,3.9256
