epoch,phase,lr,train_total,train_landmark,train_angular_deg,train_reproj,train_mask,train_ray_target,train_pose,train_translation,train_iris_seg,train_eyeball_seg,val_total,val_landmark,val_angular_deg,val_landmark_px,val_iris_seg,val_eyeball_seg
1,1,9.89e-04,1.347252,0.000401,94.8797,0.000000,0.000000,0.000000,0.181420,0.000000,0.000000,0.000000,0.783771,0.000250,96.0199,4.8270,0.000000,0.000000
2,1,9.57e-04,0.637823,0.000196,94.3727,0.000000,0.000000,0.000000,0.045410,0.000000,0.000000,0.000000,0.526277,0.000168,94.0393,3.2764,0.000000,0.000000
3,1,9.05e-04,0.495479,0.000154,93.6571,0.000000,0.000000,0.000000,0.025613,0.000000,0.000000,0.000000,0.435463,0.000139,95.2153,2.7244,0.000000,0.000000
4,1,8.35e-04,0.420684,0.000131,94.1971,0.000000,0.000000,0.000000,0.016601,0.000000,0.000000,0.000000,0.464674,0.000148,96.5120,2.9122,0.000000,0.000000
