epoch,phase,lr,train_total,train_landmark,train_angular_deg,train_reproj,train_mask,train_ray_target,train_pose,train_translation,train_iris_seg,train_eyeball_seg,val_total,val_landmark,val_angular_deg,val_landmark_px,val_iris_seg,val_eyeball_seg
1,1,1.00e-04,1.451682,0.000429,134.1674,0.000000,0.000000,0.000000,0.210379,0.000000,0.000000,0.000000,0.813381,0.000259,133.4852,4.9051,0.000000,0.000000
2,1,1.00e-04,0.673913,0.000207,133.1665,0.000000,0.000000,0.000000,0.050177,0.000000,0.000000,0.000000,0.666793,0.000213,130.8091,4.1561,0.000000,0.000000
3,1,1.00e-04,0.537638,0.000167,129.7697,0.000000,0.000000,0.000000,0.026928,0.000000,0.000000,0.000000,0.536193,0.000171,128.8234,3.3465,0.000000,0.000000
4,1,1.00e-04,0.470534,0.000147,127.1519,0.000000,0.000000,0.000000,0.018508,0.000000,0.000000,0.000000,0.564221,0.000180,125.9614,3.5468,0.000000,0.000000
5,1,1.00e-04,0.427176,0.000134,125.2989,0.000000,0.000000,0.000000,0.013373,0.000000,0.000000,0.000000,0.495635,0.000158,124.6744,3.0972,0.000000,0.000000
6,1,1.00e-04,0.390360,0.000123,124.1855,0.000000,0.000000,0.000000,0.010541,0.000000,0.000000,0.000000,0.422900,0.000135,125.0518,2.6462,0.000000,0.000000
7,1,1.00e-04,0.364805,0.000115,123.3242,0.000000,0.000000,0.000000,0.008563,0.000000,0.000000,0.000000,0.469504,0.000150,123.4007,2.9654,0.000000,0.000000
8,1,1.00e-04,0.345332,0.000109,123.0508,0.000000,0.000000,0.000000,0.007457,0.000000,0.000000,0.000000,0.443162,0.000141,123.2289,2.7882,0.000000,0.000000
9,1,1.00e-04,0.328675,0.000104,122.4489,0.000000,0.000000,0.000000,0.006704,0.000000,0.000000,0.000000,0.386003,0.000123,123.2036,2.4171,0.000000,0.000000
10,1,1.00e-04,0.314475,0.000099,122.6046,0.000000,0.000000,0.000000,0.006297,0.000000,0.000000,0.000000,0.373761,0.000119,124.1020,2.3484,0.000000,0.000000
11,1,1.00e-04,0.302496,0.000096,122.7366,0.000000,0.000000,0.000000,0.005564,0.000000,0.000000,0.000000,0.356433,0.000114,123.7528,2.2326,0.000000,0.000000
12,1,1.00e-04,0.291578,0.000092,122.8007,0.000000,0.000000,0.000000,0.005177,0.000000,0.000000,0.000000,0.343303,0.000109,123.5880,2.1503,0.000000,0.000000
13,1,1.00e-04,0.282616,0.000089,122.9326,0.000000,0.000000,0.000000,0.004997,0.000000,0.000000,0.000000,0.361096,0.000115,124.2737,2.2585,0.000000,0.000000
14,1,1.00e-04,0.274675,0.000087,122.6192,0.000000,0.000000,0.000000,0.005135,0.000000,0.000000,0.000000,0.340196,0.000108,123.1291,2.1297,0.000000,0.000000
15,1,1.00e-04,0.267123,0.000084,122.3895,0.000000,0.000000,0.000000,0.004663,0.000000,0.000000,0.000000,0.351256,0.000112,123.0189,2.2046,0.000000,0.000000
16,2,5.00e-05,13.016251,0.000115,36.6101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.775573,0.000112,27.9242,2.2118,0.000000,0.000000
