epoch,batch,loss,landmark,angular_deg,gaze_consist,shape,ray_target,pose,lr
1,1,17.880779,17.880779,93.3394,0.000000,0.000000,0.000000,0.000000,0.00100000
1,2,17.426331,17.426331,94.8874,0.000000,0.000000,0.000000,0.000000,0.00100000
1,3,17.988821,17.988821,97.7734,0.000000,0.000000,0.000000,0.000000,0.00100000
1,4,17.241688,17.241688,96.3628,0.000000,0.000000,0.000000,0.000000,0.00100000
1,5,17.613523,17.613523,99.9128,0.000000,0.000000,0.000000,0.000000,0.00100000
1,6,15.692737,15.692737,96.1692,0.000000,0.000000,0.000000,0.000000,0.00100000
1,42,13.837817,13.837817,96.9825,0.000000,0.000000,0.000000,0.000000,0.00100000
1,43,9.827678,9.827678,102.3662,0.000000,0.000000,0.000000,0.000000,0.00100000
1,44,6.965170,6.965170,105.2808,0.000000,0.000000,0.000000,0.000000,0.00100000
1,45,5.820689,5.820689,102.9021,0.000000,0.000000,0.000000,0.000000,0.00100000
1,46,3.796209,3.796209,96.7428,0.000000,0.000000,0.000000,0.000000,0.00100000
1,47,3.739003,3.739003,98.8917,0.000000,0.000000,0.000000,0.000000,0.00100000
1,84,6.358850,6.358850,100.3545,0.000000,0.000000,0.000000,0.000000,0.00100000
1,85,3.192651,3.192651,99.4730,0.000000,0.000000,0.000000,0.000000,0.00100000
1,86,3.660646,3.660646,97.8382,0.000000,0.000000,0.000000,0.000000,0.00100000
1,87,2.296778,2.296778,99.5504,0.000000,0.000000,0.000000,0.000000,0.00100000
1,88,2.054628,2.054628,103.0423,0.000000,0.000000,0.000000,0.000000,0.00100000
1,89,2.164772,2.164772,91.4754,0.000000,0.000000,0.000000,0.000000,0.00100000
1,126,6.640113,6.640113,78.9134,0.000000,0.000000,0.000000,0.000000,0.00100000
1,127,3.155684,3.155684,92.2033,0.000000,0.000000,0.000000,0.000000,0.00100000
1,128,2.426769,2.426769,105.1996,0.000000,0.000000,0.000000,0.000000,0.00100000
1,129,1.970492,1.970492,96.9997,0.000000,0.000000,0.000000,0.000000,0.00100000
1,130,1.968141,1.968141,103.3170,0.000000,0.000000,0.000000,0.000000,0.00100000
1,131,1.909782,1.909782,81.4375,0.000000,0.000000,0.000000,0.000000,0.00100000
1,167,3.420732,3.420732,87.5251,0.000000,0.000000,0.000000,0.000000,0.00100000
1,168,3.097803,3.097803,97.1987,0.000000,0.000000,0.000000,0.000000,0.00100000
1,169,2.244468,2.244468,99.5677,0.000000,0.000000,0.000000,0.000000,0.00100000
1,170,3.333633,3.333633,91.9646,0.000000,0.000000,0.000000,0.000000,0.00100000
1,171,2.515168,2.515168,97.4961,0.000000,0.000000,0.000000,0.000000,0.00100000
1,172,2.151346,2.151346,96.1491,0.000000,0.000000,0.000000,0.000000,0.00100000
1,209,3.425062,3.425062,109.8870,0.000000,0.000000,0.000000,0.000000,0.00100000
1,210,2.157449,2.157449,89.3721,0.000000,0.000000,0.000000,0.000000,0.00100000
1,211,1.878360,1.878360,85.6676,0.000000,0.000000,0.000000,0.000000,0.00100000
1,212,1.992951,1.992951,103.3472,0.000000,0.000000,0.000000,0.000000,0.00100000
1,213,2.884670,2.884670,107.3233,0.000000,0.000000,0.000000,0.000000,0.00100000
1,214,2.273177,2.273177,87.2076,0.000000,0.000000,0.000000,0.000000,0.00100000
1,251,3.377368,3.377368,102.6032,0.000000,0.000000,0.000000,0.000000,0.00100000
1,252,2.272119,2.272119,96.1507,0.000000,0.000000,0.000000,0.000000,0.00100000
1,253,2.013235,2.013235,87.2548,0.000000,0.000000,0.000000,0.000000,0.00100000
1,254,2.280384,2.280384,97.5432,0.000000,0.000000,0.000000,0.000000,0.00100000
1,255,2.292813,2.292813,98.4622,0.000000,0.000000,0.000000,0.000000,0.00100000
1,256,2.511899,2.511899,105.5094,0.000000,0.000000,0.000000,0.000000,0.00100000
1,292,6.393743,6.393743,101.4395,0.000000,0.000000,0.000000,0.000000,0.00100000
1,293,2.644222,2.644222,87.2310,0.000000,0.000000,0.000000,0.000000,0.00100000
1,294,2.509964,2.509964,84.5538,0.000000,0.000000,0.000000,0.000000,0.00100000
1,295,2.260189,2.260189,100.1525,0.000000,0.000000,0.000000,0.000000,0.00100000
1,296,1.942364,1.942364,92.5543,0.000000,0.000000,0.000000,0.000000,0.00100000
1,297,2.211096,2.211096,75.3162,0.000000,0.000000,0.000000,0.000000,0.00100000
1,334,3.189016,3.189016,113.6402,0.000000,0.000000,0.000000,0.000000,0.00100000
1,335,2.361334,2.361334,98.6478,0.000000,0.000000,0.000000,0.000000,0.00100000
1,336,1.999511,1.999511,103.0909,0.000000,0.000000,0.000000,0.000000,0.00100000
1,337,2.032595,2.032595,106.2832,0.000000,0.000000,0.000000,0.000000,0.00100000
1,338,2.010164,2.010164,112.3412,0.000000,0.000000,0.000000,0.000000,0.00100000
1,339,1.838435,1.838435,82.3091,0.000000,0.000000,0.000000,0.000000,0.00100000
1,376,2.768106,2.768106,108.1917,0.000000,0.000000,0.000000,0.000000,0.00100000
1,377,2.663491,2.663491,114.1884,0.000000,0.000000,0.000000,0.000000,0.00100000
1,378,2.320239,2.320239,116.7032,0.000000,0.000000,0.000000,0.000000,0.00100000
1,379,2.106372,2.106372,96.4870,0.000000,0.000000,0.000000,0.000000,0.00100000
1,380,2.060189,2.060189,91.4503,0.000000,0.000000,0.000000,0.000000,0.00100000
1,381,1.649914,1.649914,90.9542,0.000000,0.000000,0.000000,0.000000,0.00100000
1,417,1.894951,1.894951,79.6536,0.000000,0.000000,0.000000,0.000000,0.00100000
1,418,2.165651,2.165651,108.1814,0.000000,0.000000,0.000000,0.000000,0.00100000
