epoch,batch,loss,landmark,angular_deg,gaze_consist,shape,ray_target,pose,translation,lr
1,1,105.723320,0.000168,45.6255,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,2,101.451866,0.000165,44.1878,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,3,98.848389,0.000174,44.5378,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,4,96.652817,0.000179,46.7860,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,5,94.062523,0.000168,46.3146,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,6,92.070244,0.000162,43.0644,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,7,90.137077,0.000170,46.3642,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,8,87.992798,0.000172,43.4381,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,9,85.652344,0.000161,44.6718,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,10,83.576218,0.000138,44.6665,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,11,81.204521,0.000142,43.9025,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,12,78.806168,0.000141,45.2076,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,13,76.211975,0.000136,43.2323,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,14,74.019638,0.000164,47.2472,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,15,70.417053,0.000150,36.9919,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,16,68.869308,0.000130,41.9857,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,17,65.591171,0.000122,38.0537,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,18,63.312031,0.000130,41.8024,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,19,59.991222,0.000142,40.5956,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
1,20,57.680477,0.000152,44.5711,0.000000,0.000000,0.000000,0.000000,0.000000,0.00030000
