epoch,batch,loss,landmark,angular_deg,gaze_consist,shape,ray_target,pose,translation,iris_seg,eyeball_seg,lr
1,1,24.905493,0.006297,134.4635,0.000000,0.000000,0.000000,2.217216,1.479263,1.669264,1.640077,0.00050000
1,2,21.100779,0.005116,135.8298,0.000000,0.000000,0.000000,2.083892,1.483473,1.657338,1.614788,0.00050000
1,3,17.457846,0.004041,134.6034,0.000000,0.000000,0.000000,1.624071,1.479456,1.642938,1.590228,0.00050000
1,4,14.030046,0.002997,131.9684,0.000000,0.000000,0.000000,1.434324,1.464960,1.621484,1.560193,0.00050000
1,5,11.877571,0.002370,135.1758,0.000000,0.000000,0.000000,1.176269,1.443756,1.600698,1.533427,0.00050000
1,6,10.836157,0.002044,134.4518,0.000000,0.000000,0.000000,1.224498,1.425449,1.580551,1.520869,0.00050000
1,7,9.541832,0.001672,133.3567,0.000000,0.000000,0.000000,1.079926,1.394460,1.561865,1.500661,0.00050000
1,8,9.174974,0.001602,133.6008,0.000000,0.000000,0.000000,0.900694,1.359217,1.549458,1.471038,0.00050000
1,9,9.374004,0.001702,135.0046,0.000000,0.000000,0.000000,0.754446,1.309580,1.538147,1.465588,0.00050000
1,10,8.177654,0.001333,135.1235,0.000000,0.000000,0.000000,0.760345,1.265944,1.524258,1.459185,0.00050000
1,11,7.772546,0.001253,135.9624,0.000000,0.000000,0.000000,0.639729,1.162271,1.514199,1.429124,0.00050000
1,12,7.197527,0.001098,136.2005,0.000000,0.000000,0.000000,0.582153,1.033154,1.516918,1.430488,0.00050000
1,13,7.673240,0.001288,135.2169,0.000000,0.000000,0.000000,0.513654,0.866437,1.510708,1.434184,0.00050000
1,14,7.508424,0.001281,133.6478,0.000000,0.000000,0.000000,0.486005,0.617944,1.511854,1.427232,0.00050000
1,15,6.447874,0.000994,134.1700,0.000000,0.000000,0.000000,0.475626,0.342911,1.505369,1.416636,0.00050000
1,16,6.856990,0.001165,132.6278,0.000000,0.000000,0.000000,0.474740,0.097591,1.505251,1.412359,0.00050000
1,17,6.272519,0.000969,135.8432,0.000000,0.000000,0.000000,0.434975,0.186372,1.509321,1.412362,0.00050000
1,18,6.506959,0.001024,132.7997,0.000000,0.000000,0.000000,0.523717,0.266287,1.497649,1.402571,0.00050000
1,19,6.043932,0.000898,135.3696,0.000000,0.000000,0.000000,0.509864,0.154732,1.495897,1.400028,0.00050000
1,20,5.787576,0.000857,134.5560,0.000000,0.000000,0.000000,0.414441,0.044534,1.485369,1.383888,0.00050000
