epoch,phase,lr,train_total,train_landmark,train_angular_deg,train_reproj,train_mask,train_ray_target,train_pose,train_translation,train_iris_seg,train_eyeball_seg,val_total,val_landmark,val_angular_deg,val_landmark_px,val_iris_seg,val_eyeball_seg
1,1,4.95e-04,2.979372,0.000414,113.4851,0.000000,0.000000,0.000000,0.184642,0.033641,0.893719,0.676961,1.377294,0.000265,113.0854,5.1419,0.328133,0.217701
2,1,4.78e-04,1.137809,0.000209,113.6801,0.000000,0.000000,0.000000,0.052679,0.003816,0.295762,0.159153,0.953861,0.000171,113.2894,3.3446,0.257041,0.161857
3,1,4.52e-04,0.917882,0.000171,113.7421,0.000000,0.000000,0.000000,0.028690,0.001979,0.240583,0.125210,0.844569,0.000155,113.4432,3.0563,0.216497,0.140465
4,1,4.17e-04,0.812234,0.000153,113.7423,0.000000,0.000000,0.000000,0.018881,0.001254,0.214559,0.109279,0.778183,0.000139,113.5386,2.7319,0.201942,0.140310
5,1,3.75e-04,0.742595,0.000140,113.8096,0.000000,0.000000,0.000000,0.013409,0.000932,0.198143,0.099534,0.772948,0.000138,113.4482,2.7107,0.205344,0.135163
