epoch,batch,loss,landmark,angular_deg,gaze_consist,shape,ray_target,pose,translation,iris_seg,eyeball_seg,lr
1,1,24.786860,0.006132,115.1483,0.000000,0.000000,0.000000,2.364070,1.454734,1.882500,1.764755,0.00050000
1,2,21.380556,0.005185,110.5036,0.000000,0.000000,0.000000,1.644921,1.455406,1.836825,1.731849,0.00050000
1,3,17.966232,0.004157,115.6733,0.000000,0.000000,0.000000,1.446560,1.449684,1.780453,1.702306,0.00050000
1,4,13.930628,0.002922,117.2551,0.000000,0.000000,0.000000,1.309249,1.430380,1.726451,1.670789,0.00050000
1,5,11.713233,0.002271,114.6355,0.000000,0.000000,0.000000,1.116464,1.404046,1.685259,1.645781,0.00050000
1,6,10.186297,0.001765,113.1270,0.000000,0.000000,0.000000,1.340075,1.387620,1.657246,1.629955,0.00050000
1,7,9.059793,0.001476,116.6170,0.000000,0.000000,0.000000,0.970456,1.350865,1.650356,1.620840,0.00050000
1,8,8.647115,0.001385,113.1110,0.000000,0.000000,0.000000,0.804957,1.316826,1.631225,1.612555,0.00050000
1,9,9.430404,0.001668,110.6459,0.000000,0.000000,0.000000,0.733657,1.266390,1.604516,1.595407,0.00050000
1,10,9.297189,0.001652,110.4216,0.000000,0.000000,0.000000,0.676802,1.178102,1.599615,1.590354,0.00050000
1,11,7.708599,0.001183,113.6640,0.000000,0.000000,0.000000,0.592309,1.056003,1.591752,1.582398,0.00050000
1,12,7.356161,0.001081,114.1825,0.000000,0.000000,0.000000,0.631079,0.982818,1.585618,1.574855,0.00050000
1,13,7.113249,0.001055,112.5195,0.000000,0.000000,0.000000,0.555216,0.747439,1.582062,1.570565,0.00050000
1,14,6.524464,0.000932,113.0244,0.000000,0.000000,0.000000,0.534622,0.402707,1.575042,1.557570,0.00050000
1,15,6.579887,0.000993,109.5052,0.000000,0.000000,0.000000,0.519227,0.156832,1.570250,1.556802,0.00050000
1,16,7.172019,0.001143,111.0986,0.000000,0.000000,0.000000,0.529503,0.431131,1.559580,1.548172,0.00050000
1,17,6.308103,0.000906,113.3669,0.000000,0.000000,0.000000,0.497675,0.233670,1.560151,1.540615,0.00050000
1,18,6.174099,0.000897,114.2359,0.000000,0.000000,0.000000,0.452920,0.079922,1.557788,1.536963,0.00050000
1,19,6.356769,0.000943,116.6940,0.000000,0.000000,0.000000,0.478882,0.144431,1.552754,1.535752,0.00050000
1,20,5.566798,0.000724,110.6815,0.000000,0.000000,0.000000,0.413727,0.059946,1.542221,1.516803,0.00050000
1,21,5.810390,0.000780,113.6744,0.000000,0.000000,0.000000,0.439819,0.158966,1.543483,1.522771,0.00050000
1,22,5.533269,0.000722,111.1661,0.000000,0.000000,0.000000,0.365020,0.067279,1.536371,1.515736,0.00050000
1,23,5.556918,0.000733,114.6978,0.000000,0.000000,0.000000,0.387827,0.056268,1.528659,1.506663,0.00050000
