fold,epoch,train_loss,val_mae
P1,1,0.050448235065218,12.095915
P1,2,0.020653622491019114,11.865246
P1,3,0.02035111283499097,11.980753
P1,4,0.020404048382289826,11.591324
P1,5,0.01996070525002858,10.7314005
P1,6,0.019951914037976946,12.22107
P1,7,0.019604594934554326,10.730905
P1,8,0.019234697024027508,10.8073225
P1,9,0.019283604054223923,10.07252
P1,10,0.019332603802756657,10.595301
P1,11,0.019094469055296884,9.598983
P1,12,0.01902397189821516,10.137365
P1,13,0.018923438730694,10.762739
P1,14,0.01879523860083686,9.982448
P1,15,0.018702073702736507,10.300684
P1,16,0.018536157078213163,10.035522
P1,17,0.018320465844775004,9.768318
P1,18,0.01843971203243922,10.604744
P1,19,0.018284599932413253,9.700525
P1,20,0.017891840329245914,10.323649
P1,21,0.018051358442457897,9.938147
P1,22,0.018166826830969915,10.015494
P1,23,0.01772607413549272,10.205876
P1,24,0.017746835473984007,9.879708
P1,25,0.017585140372079516,10.12252
P1,26,0.01764944999937027,10.028912
P1,27,0.017838001251220703,9.856714
P1,28,0.01746801251456851,9.945881
P1,29,0.01741249409932939,10.02637
P1,30,0.017635846894884868,9.998658
P2,1,0.03730550550279163,11.454075
P2,2,0.020824980168115525,12.468444
P2,3,0.020408654023730564,11.079129
P2,4,0.01993108931041899,11.205082
P2,5,0.01953290757678804,10.768666
P2,6,0.019328848710135807,10.7304125
P2,7,0.01903811144450354,10.765984
P2,8,0.019165505492498004,10.409558
P2,9,0.019149765135749938,10.654774
P2,10,0.018726180470179,10.96269
P2,11,0.018637537956237793,10.495291
P2,12,0.01850602078059363,11.583675
P2,13,0.018098234184204587,10.628252
P2,14,0.018489332426161992,11.3330345
P2,15,0.01774893866644965,10.885474
P2,16,0.0178868571917216,11.477595
P2,17,0.01791868039539882,11.288466
P2,18,0.01744309871915787,10.966905
P2,19,0.01780079376129877,10.300903
P2,20,0.017498584966810924,10.455484
P2,21,0.016926540268792048,10.316074
P2,22,0.017270976588839575,11.146269
P2,23,0.016954639601329015,10.790045
P2,24,0.01676786608166165,10.996944
P2,25,0.01680950229130094,11.131491
P2,26,0.016795119595906093,10.876787
P2,27,0.016789478915078298,11.163938
P2,28,0.016468155005621533,11.219078
P2,29,0.0163322337090023,11.17864
P2,30,0.016642559142339797,11.146833
P3,1,0.05296297205819024,11.164242
P3,2,0.020748290750715468,11.060785
P3,3,0.02043032835400294,11.164082
P3,4,0.02041880100492447,11.116664
P3,5,0.020377381453438412,11.212852
P3,6,0.020359464107997834,11.163442
P3,7,0.020123555546715147,11.180802
P3,8,0.019978555421980602,11.229964
P3,9,0.01986760374099489,11.208916
P3,10,0.019977511867644297,11.176935
P3,11,0.019698704992021834,11.060144
P3,12,0.01982349535775563,10.8279085
P3,13,0.01950979895061917,10.508761
P3,14,0.019103290542723642,10.39152
P3,15,0.019418566945999388,10.244407
P3,16,0.019471136350480336,10.745037
P3,17,0.01906796201827034,10.627062
P3,18,0.018946340159764364,10.565878
P3,19,0.01877914061622014,10.871523
P3,20,0.01871934864256117,10.2644005
P3,21,0.018538346366276815,10.150717
P3,22,0.018414960021064394,10.152397
P3,23,0.018366217613220215,10.528267
P3,24,0.018521537856450155,10.134752
P3,25,0.018299002496023026,10.222472
P3,26,0.01807626277681381,9.984828
P3,27,0.018168629161895267,9.966887
P3,28,0.01796136110547989,9.905757
P3,29,0.018026188252464173,9.894719
P3,30,0.017797202344924684,9.957748
P4,1,0.053231469222477505,10.251403
P4,2,0.020905774737161303,10.27091
P4,3,0.020573654818156407,10.278566
P4,4,0.020511213749174088,10.21848
P4,5,0.020634259496416365,10.176831
P4,6,0.020473794331626285,10.118363
P4,7,0.02024351509790572,10.246172
P4,8,0.02007240624654861,10.205486
P4,9,0.019946267680516317,10.36923
P4,10,0.019920731347704692,10.240318
P4,11,0.019725939584156825,10.448365
P4,12,0.019739487814524816,10.166551
P4,13,0.019255952229575504,10.175623
P4,14,0.019477280359419567,10.205244
P4,15,0.019274878123449902,10.172067
P4,16,0.019079474229661244,10.065981
P4,17,0.0192063431891184,10.218899
P4,18,0.018775196302504765,10.518822
P4,19,0.018842678221445235,10.603625
P4,20,0.018752247568160768,10.3864355
P4,21,0.018694824642605253,10.286789
P4,22,0.018591531685420444,10.477267
P4,23,0.0185184223311288,10.32508
P4,24,0.018260817679147872,10.37369
P4,25,0.018129479317438035,10.577566
P4,26,0.018267006155044313,10.401262
P4,27,0.017974899874793157,10.412377
P4,28,0.018038715635027205,10.430257
P4,29,0.01799641809766255,10.427865
P4,30,0.017859953736502027,10.412971
P5,1,0.044558822162567624,10.815728
P5,2,0.02064347267150879,10.6640215
P5,3,0.020339247726258777,10.747168
P5,4,0.020423681016952272,10.662221
P5,5,0.020064476936582535,10.887968
P5,6,0.0196039979420011,10.743328
P5,7,0.019677897294362385,10.975785
P5,8,0.019690193827190096,10.354645
P5,9,0.019342153791397337,10.644224
P5,10,0.019268331073579333,10.880805
P5,11,0.019237493711804585,10.489746
P5,12,0.018584991258288188,10.228787
P5,13,0.018796772237807985,10.3475485
P5,14,0.01845475605555943,10.820762
P5,15,0.01816355235992916,10.562674
P5,16,0.018442742408268036,10.470375
P5,17,0.018196980158487957,10.07617
P5,18,0.01779481815913367,10.014231
P5,19,0.017636904640803263,10.318608
P5,20,0.017981068482474674,11.138221
P5,21,0.017847202126941984,10.849746
P5,22,0.01752472207659767,10.500878
P5,23,0.01730048940295265,10.667915
P5,24,0.01780421014816042,10.288365
P5,25,0.017477726179455953,10.279759
P5,26,0.017201379178062318,10.389852
P5,27,0.017169849267081608,10.412533
P5,28,0.016912662793719578,10.361927
P5,29,0.01729660090946016,10.460714
P5,30,0.0172886261864314,10.4128475
P6,1,0.037618683444129095,10.170193
P6,2,0.020824317894284686,10.258293
P6,3,0.020386584221370636,10.304951
P6,4,0.020487267819661942,10.18541
P6,5,0.020172968743339417,9.822845
P6,6,0.01980513334274292,10.171139
P6,7,0.019922037919362385,9.966383
P6,8,0.019592326784890795,9.686088
P6,9,0.01948681426426721,9.595627
P6,10,0.019485285357823446,9.49615
P6,11,0.0193910314923241,9.731316
P6,12,0.019128410589127315,9.956963
P6,13,0.018799486614408948,9.265381
P6,14,0.01842461313520159,9.398834
P6,15,0.018658998466673352,9.328625
P6,16,0.0183823789869036,9.476632
P6,17,0.018414679973844498,9.598969
P6,18,0.018505330123598614,9.742433
P6,19,0.01817641844825139,9.181836
