epoch,stage,phase,lr,train_total,train_landmark,train_angular_deg,train_reproj,train_mask,train_ray_target,train_pose,train_translation,val_total,val_landmark,val_angular_deg,val_landmark_px
1,2,1,2.71e-04,2.400005,0.000122,65.8955,0.000000,0.000000,0.000000,0.032260,0.001963,0.578439,0.000168,66.3009,3.2983
2,2,1,1.96e-04,1.158173,0.000121,62.4894,0.000000,0.000000,0.000000,0.041016,0.002284,0.604049,0.000179,56.5435,3.5422
3,2,1,1.04e-04,0.935833,0.000117,55.5576,0.000000,0.000000,0.000000,0.040956,0.002156,0.471454,0.000137,48.0128,2.7037
4,2,1,2.86e-05,0.726282,0.000113,43.2521,0.000000,0.000000,0.000000,0.037684,0.001945,0.460688,0.000133,55.0658,2.6158
5,2,1,0.00e+00,0.608887,0.000112,30.5055,0.000000,0.000000,0.000000,0.036331,0.001788,0.432381,0.000131,26.1688,2.5709
6,2,2,2.93e-04,2.330534,0.000116,61.5929,0.194281,0.130453,0.483581,0.046841,0.002247,0.632415,0.000144,44.6134,2.8388
7,2,2,2.71e-04,2.310103,0.000117,61.9063,0.198471,0.131412,0.477088,0.048005,0.002320,0.633085,0.000146,41.8360,2.8852
8,2,2,2.38e-04,2.117744,0.000114,59.6339,0.193873,0.131506,0.459517,0.045726,0.002265,0.585906,0.000131,42.3895,2.5777
