epoch,phase,lr,train_total,train_landmark,train_angular_deg,train_reproj,train_mask,train_ray_target,train_pose,train_translation,train_iris_seg,train_eyeball_seg,val_total,val_landmark,val_angular_deg,val_landmark_px,val_iris_seg,val_eyeball_seg
1,1,1.00e-03,1.219694,0.000389,112.2157,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.729278,0.000233,106.9439,4.5490,0.000000,0.000000
2,1,1.00e-03,0.626859,0.000200,113.2216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.571745,0.000182,107.3162,3.5709,0.000000,0.000000
3,1,1.00e-03,0.514593,0.000164,112.3804,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.447515,0.000143,104.7331,2.7974,0.000000,0.000000
4,1,1.00e-03,0.457031,0.000146,111.0344,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.431232,0.000138,111.0507,2.6988,0.000000,0.000000
5,1,1.00e-03,0.414152,0.000132,111.3494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.440134,0.000140,100.5523,2.7575,0.000000,0.000000
6,1,1.00e-03,0.382686,0.000122,111.1907,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.468814,0.000149,104.4957,2.9466,0.000000,0.000000
7,1,1.00e-03,0.360532,0.000115,111.6639,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.385910,0.000123,104.3371,2.4142,0.000000,0.000000
8,1,1.00e-03,0.336517,0.000107,110.4998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.363382,0.000116,104.1888,2.2746,0.000000,0.000000
9,1,1.00e-03,0.325040,0.000104,110.7902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.338263,0.000108,104.1065,2.1136,0.000000,0.000000
10,1,1.00e-03,0.310088,0.000099,111.3236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.415398,0.000132,107.0059,2.5883,0.000000,0.000000
11,1,1.00e-03,0.299651,0.000096,111.4552,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.349180,0.000111,106.1518,2.1831,0.000000,0.000000
12,1,1.00e-03,0.287745,0.000092,111.0812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.349669,0.000112,103.3326,2.1964,0.000000,0.000000
13,1,1.00e-03,0.277899,0.000089,111.1039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.294706,0.000094,107.6111,1.8425,0.000000,0.000000
14,1,1.00e-03,0.269572,0.000086,111.1302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.289810,0.000092,101.9328,1.8140,0.000000,0.000000
15,1,1.00e-03,0.262775,0.000084,110.5566,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.326961,0.000104,104.3591,2.0425,0.000000,0.000000
16,2,5.00e-04,13.506276,0.000110,39.9166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.173371,0.000103,23.1630,2.0115,0.000000,0.000000
17,2,5.00e-04,6.851957,0.000110,28.8853,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.953133,0.000103,28.9714,2.0117,0.000000,0.000000
18,2,5.00e-04,6.086201,0.000110,24.1029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.815630,0.000103,65.0032,2.0183,0.000000,0.000000
19,2,5.00e-04,5.748305,0.000110,22.9223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.208010,0.000103,11.8567,2.0156,0.000000,0.000000
20,2,5.00e-04,5.404856,0.000110,21.0673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.397353,0.000103,15.0014,2.0164,0.000000,0.000000
21,2,5.00e-04,5.225623,0.000110,20.6902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.346689,0.000103,10.2563,2.0114,0.000000,0.000000
22,2,5.00e-04,5.090296,0.000110,20.3741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.544884,0.000103,21.2398,2.0222,0.000000,0.000000
23,2,5.00e-04,4.744094,0.000110,19.5708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.438609,0.000102,30.9802,2.0092,0.000000,0.000000
24,2,5.00e-04,4.707203,0.000110,19.1252,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.123806,0.000103,9.9879,2.0152,0.000000,0.000000
25,2,5.00e-04,4.564827,0.000110,19.2059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.435859,0.000102,15.4053,2.0056,0.000000,0.000000
